Date & Time,Content,User,Location
2022-05-07 15:36:51,b'@Moonsie_NFT @FlipprTool @J777Crypto @darwin_nft I\xe2\x80\x99ve fallen in love with this project  @KalmuratSultam1\xe2\x80\xa6 https://t.co/Q348rUDVv5',b'tdjhj1',b''
2022-05-07 15:36:51,b'@SolRaiderz @SolRaiderz \xf0\x9f\xa9\xb8\xf0\x9f\xa9\xb8\xf0\x9f\xa9\xb8\xf0\x9f\xa9\xb8\xf0\x9f\xa9\xb8 Mint Day TODAY!!!!! Raid Time!!!!!! \n#bloodraid #Solana #SOL #SolanaNFT #NFT #NFTs #SolanaNFTs',b'EL_EL_NFT',b''
2022-05-07 15:36:51,b'@NftWhaw Letsss goooo\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n@DivinityCells\n \nPhysical pieces! Interactive treasure hunt in the artworks!! Exclusive p\xe2\x80\xa6 https://t.co/TxXlKRodQA',b'worldofcrypto2',b''
2022-05-07 15:36:51,"b'By the end of 2021, almost $41 billion was spent on NFTs, according to global data! Yet, there are still some inhib\xe2\x80\xa6 https://t.co/qYmC8Pi0NO'",b'RhymOfficial',b'India'
2022-05-07 15:36:50,b'@ItsEliOyefeso Done',b'nft_jona24',"b'New York, NY'"
2022-05-07 15:36:49,b'Check out this NFT by @Sol_Aphroditus on @foundation! \xf0\x9f\x8c\x90\n\nhttps://t.co/rbHFaGhhgf \n\n#Foundation #CryptoArt #ETH\xe2\x80\xa6 https://t.co/KfEDhQViRd',b'Sol_Aphroditus',b'Georgia'
2022-05-07 15:36:49,b'@Moonsie_NFT @FlipprTool @J777Crypto @darwin_nft I love the fam of this project. @shirleycaesarb2 @rupfer_t\xe2\x80\xa6 https://t.co/dgY4xBXize',b'LJioess',b''
2022-05-07 15:36:48,"b'The ""Crist\xc3\xb3bal Balenciaga: To the Moon"" NFT drop aims to set the standard for Meta-Fashion and empower communities.\xe2\x80\xa6 https://t.co/DDB2GzDmnU'",b'06marcosss',b''
2022-05-07 15:36:47,b'@GuidoDisalle @jacobgoldart Indeed!',b'nft_Vis',"b'Texas, USA'"
2022-05-07 15:36:47,b'@SoulZ_NFT @GiveawaysSoulz @JukiverseNFT Lets go!! Been trying for so long \xf0\x9f\x98\xad\xf0\x9f\x99\x8f @barrie_dinah @DorisWesley14 @BobChar89381453',b'MaureenCrichto1',b''
2022-05-07 15:36:47,b'@WavePunks_NFT @NightmarePrjct @DogruyolAhmet @bircahilsoruyor @anliYorumki cool',b'umozum_',b''
2022-05-07 15:36:47,b'@takoa @Forgot3thWorlds @memeland @gangsterallstar @nanoverseHQ @Machina_NFT @LlamascapeNFT #MuertoRevolution\xe2\x80\xa6 https://t.co/NKAhhRvr38',b'x2k2rxnnpc',b''
2022-05-07 15:36:46,b'@NFMS_nft @Nafwyd Awesome!',b'alexismre19',b'None of yo dam business bruh'
2022-05-07 15:36:46,b'@ron1ndoteth @darran0x @brownissance I agree with the thesis that a lot of liquidity in the NFT sector comes from r\xe2\x80\xa6 https://t.co/gPab7Tn3zh',b'LeviGoldman99',b''
2022-05-07 15:36:46,b'@koolk123456 @Cannaverse_ Done ser! https://t.co/nntUP0H3ok',b'ChefEph_NFT',"b'Torrance, CA'"
2022-05-07 15:36:46,b'NFT drop to all holders of 1k $PIXEL or more complete!\n\n$RDM drop to all holders of a pixel heroes avatar complete!\xe2\x80\xa6 https://t.co/zbMreoQjd9',b'PixelHeroes1',b''
2022-05-07 15:36:46,b'@ElonPunkNft \xf0\x9f\x8f\x86 WhiteList Winners\n\n@jdmica_nft @farrell_marco @shafeeq_kvs @MichellMurray12 @Punudom @DiawaraDondon\xe2\x80\xa6 https://t.co/OGf78uMRcf',b'JodiMil86158868',b''
2022-05-07 15:36:45,b'@NFTShillMachine \xe2\x80\x9cLonely Nights in Montreal\xe2\x80\x9d NFT Collection!\n6 pieces 1/1 edition\n0.05 - 0.07 eth https://t.co/RznJglqWau',b'JourneyCharming',"b'Montr\xc3\xa9al, Qu\xc3\xa9bec'"
2022-05-07 15:36:45,"b'With customizable NFT avatars, personalized spaces, and customizable NFT galleries, #Mplaza users will be able to g\xe2\x80\xa6 https://t.co/8NGGwSJijx'",b'VEN7NET',b''
2022-05-07 15:36:45,b'@memeland @9gagceo @iamsunny_nft @FrankyLabs @Marcolino_eth  Fingers crossed!!',b'savino910',"b'Amsterdam, The Netherlands'"
2022-05-07 15:36:44,b'@zimmyraiders my nft https://t.co/hns1byzWtv',b'nftfubuki',b'Japan'
2022-05-07 15:36:44,"b'@A100888 @lizzy_nft Done, wml https://t.co/dtDYELieuc'",b'i_chungie',b'akun wangi'
2022-05-07 15:36:44,b'Mutant Ape Yacht Club #4107 was bought for 21.5 W\xce\x9eTH ($57870) [67 Gwei] on LooksRare\xf0\x9f\x91\x80\xf0\x9f\x92\x8e\xe2\x80\xa6 https://t.co/lw1vGSVXMF',b'nanocubealerts2',b'Metaverse'
2022-05-07 15:36:44,"b'@annaanft $1.00 nfts!\nI created the fud munster collection just playing around, most have a saying with it like tha\xe2\x80\xa6 https://t.co/wn3jbMB61D'",b'CROCITYCREATION',"b'Las Vegas, NV'"
2022-05-07 15:36:44,b'@Crypto__Diva @KinderInu Check out $TKING #TKING \n@Tiger_King_Coin #Bullish #ETH #BSC better then #doge or #shib\xe2\x80\xa6 https://t.co/xBDrQMkbd2',b'Tee1972bruijn',b''
2022-05-07 15:36:44,b'@adrian__chamber @cryptosurance @Shield I could feel that I am that lucky owner! Jk but i am hoping to win this NFT!',b'MohitKuswaha6',b''
2022-05-07 15:36:44,b'NFT Poetry is fascinating! Share any and all poets in the NFT space that should be on our radar #NFTpoetry',b'ALLSHIPS',b''
2022-05-07 15:36:44,b'@NFTLEMON_ @Populart_NFT I hope today is luckier than yesterday\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\n@Mhmmdsaef @adhe_tonyot @LubisRysky',b'Kaigaakuu',b''
2022-05-07 15:36:43,"b""What's UP? #SOLANA #SOLANANFT #SolanaGiveaways #SolanaGiveaway #SolanaAirdrops #nft #nfts\n\nFollow-US and my\xe2\x80\xa6 https://t.co/aEpISBl3mJ""",b'solapets',b''
2022-05-07 15:36:43,"b""@tspencer322 @AMCTheatres @CEOAdam So dilution of the float to 513 million that's what 400% wasn't enough for the m\xe2\x80\xa6 https://t.co/dVVqofqtKT""",b'jerrydiamond69',b''
2022-05-07 15:36:43,b'@JB__nfts @BAYC2745 @psychedelic_nft \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 hilarious as usual',b'Simo_Fantom',b''
